t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
70.0,50.0,70.0,60.0,50.0,40.0,30.0,40.0,50.0,60.0,70.0,60.0,60
50.0,70.0,60.0,50.0,40.0,30.0,40.0,50.0,60.0,70.0,60.0,60.0,50
70.0,60.0,50.0,40.0,30.0,40.0,50.0,60.0,70.0,60.0,60.0,50.0,60
60.0,50.0,40.0,30.0,40.0,50.0,60.0,70.0,60.0,60.0,50.0,60.0,50
50.0,40.0,30.0,40.0,50.0,60.0,70.0,60.0,60.0,50.0,60.0,50.0,60
40.0,30.0,40.0,50.0,60.0,70.0,60.0,60.0,50.0,60.0,50.0,60.0,50
30.0,40.0,50.0,60.0,70.0,60.0,60.0,50.0,60.0,50.0,60.0,50.0,70
40.0,50.0,60.0,70.0,60.0,60.0,50.0,60.0,50.0,60.0,50.0,70.0,40
50.0,60.0,70.0,60.0,60.0,50.0,60.0,50.0,60.0,50.0,70.0,40.0,50
60.0,70.0,60.0,60.0,50.0,60.0,50.0,60.0,50.0,70.0,40.0,50.0,30
70.0,60.0,60.0,50.0,60.0,50.0,60.0,50.0,70.0,40.0,50.0,30.0,70
60.0,60.0,50.0,60.0,50.0,60.0,50.0,70.0,40.0,50.0,30.0,70.0,50
60.0,50.0,60.0,50.0,60.0,50.0,70.0,40.0,50.0,30.0,70.0,50.0,40
50.0,60.0,50.0,60.0,50.0,70.0,40.0,50.0,30.0,70.0,50.0,40.0,50
60.0,50.0,60.0,50.0,70.0,40.0,50.0,30.0,70.0,50.0,40.0,50.0,50
50.0,60.0,50.0,70.0,40.0,50.0,30.0,70.0,50.0,40.0,50.0,50.0,80
60.0,50.0,70.0,40.0,50.0,30.0,70.0,50.0,40.0,50.0,50.0,80.0,50
50.0,70.0,40.0,50.0,30.0,70.0,50.0,40.0,50.0,50.0,80.0,50.0,40
70.0,40.0,50.0,30.0,70.0,50.0,40.0,50.0,50.0,80.0,50.0,40.0,40
40.0,50.0,30.0,70.0,50.0,40.0,50.0,50.0,80.0,50.0,40.0,40.0,50
50.0,30.0,70.0,50.0,40.0,50.0,50.0,80.0,50.0,40.0,40.0,50.0,320
30.0,70.0,50.0,40.0,50.0,50.0,80.0,50.0,40.0,40.0,50.0,320.0,310
70.0,50.0,40.0,50.0,50.0,80.0,50.0,40.0,40.0,50.0,320.0,310.0,90
50.0,40.0,50.0,50.0,80.0,50.0,40.0,40.0,50.0,320.0,310.0,90.0,50
40.0,50.0,50.0,80.0,50.0,40.0,40.0,50.0,320.0,310.0,90.0,50.0,70
50.0,50.0,80.0,50.0,40.0,40.0,50.0,320.0,310.0,90.0,50.0,70.0,70
50.0,80.0,50.0,40.0,40.0,50.0,320.0,310.0,90.0,50.0,70.0,70.0,60
80.0,50.0,40.0,40.0,50.0,320.0,310.0,90.0,50.0,70.0,70.0,60.0,60
50.0,40.0,40.0,50.0,320.0,310.0,90.0,50.0,70.0,70.0,60.0,60.0,70
40.0,40.0,50.0,320.0,310.0,90.0,50.0,70.0,70.0,60.0,60.0,70.0,270
40.0,50.0,320.0,310.0,90.0,50.0,70.0,70.0,60.0,60.0,70.0,270.0,740
50.0,320.0,310.0,90.0,50.0,70.0,70.0,60.0,60.0,70.0,270.0,740.0,590
320.0,310.0,90.0,50.0,70.0,70.0,60.0,60.0,70.0,270.0,740.0,590.0,380
310.0,90.0,50.0,70.0,70.0,60.0,60.0,70.0,270.0,740.0,590.0,380.0,280
90.0,50.0,70.0,70.0,60.0,60.0,70.0,270.0,740.0,590.0,380.0,280.0,240
50.0,70.0,70.0,60.0,60.0,70.0,270.0,740.0,590.0,380.0,280.0,240.0,250
70.0,70.0,60.0,60.0,70.0,270.0,740.0,590.0,380.0,280.0,240.0,250.0,210
70.0,60.0,60.0,70.0,270.0,740.0,590.0,380.0,280.0,240.0,250.0,210.0,80
60.0,60.0,70.0,270.0,740.0,590.0,380.0,280.0,240.0,250.0,210.0,80.0,70
60.0,70.0,270.0,740.0,590.0,380.0,280.0,240.0,250.0,210.0,80.0,70.0,50
70.0,270.0,740.0,590.0,380.0,280.0,240.0,250.0,210.0,80.0,70.0,50.0,60
270.0,740.0,590.0,380.0,280.0,240.0,250.0,210.0,80.0,70.0,50.0,60.0,50
740.0,590.0,380.0,280.0,240.0,250.0,210.0,80.0,70.0,50.0,60.0,50.0,50
590.0,380.0,280.0,240.0,250.0,210.0,80.0,70.0,50.0,60.0,50.0,50.0,50
380.0,280.0,240.0,250.0,210.0,80.0,70.0,50.0,60.0,50.0,50.0,50.0,530
280.0,240.0,250.0,210.0,80.0,70.0,50.0,60.0,50.0,50.0,50.0,530.0,370
240.0,250.0,210.0,80.0,70.0,50.0,60.0,50.0,50.0,50.0,530.0,370.0,300
250.0,210.0,80.0,70.0,50.0,60.0,50.0,50.0,50.0,530.0,370.0,300.0,290
210.0,80.0,70.0,50.0,60.0,50.0,50.0,50.0,530.0,370.0,300.0,290.0,270
80.0,70.0,50.0,60.0,50.0,50.0,50.0,530.0,370.0,300.0,290.0,270.0,240
70.0,50.0,60.0,50.0,50.0,50.0,530.0,370.0,300.0,290.0,270.0,240.0,220
50.0,60.0,50.0,50.0,50.0,530.0,370.0,300.0,290.0,270.0,240.0,220.0,150
60.0,50.0,50.0,50.0,530.0,370.0,300.0,290.0,270.0,240.0,220.0,150.0,60
50.0,50.0,50.0,530.0,370.0,300.0,290.0,270.0,240.0,220.0,150.0,60.0,310
50.0,50.0,530.0,370.0,300.0,290.0,270.0,240.0,220.0,150.0,60.0,310.0,340
50.0,530.0,370.0,300.0,290.0,270.0,240.0,220.0,150.0,60.0,310.0,340.0,100
530.0,370.0,300.0,290.0,270.0,240.0,220.0,150.0,60.0,310.0,340.0,100.0,60
370.0,300.0,290.0,270.0,240.0,220.0,150.0,60.0,310.0,340.0,100.0,60.0,60
300.0,290.0,270.0,240.0,220.0,150.0,60.0,310.0,340.0,100.0,60.0,60.0,70
290.0,270.0,240.0,220.0,150.0,60.0,310.0,340.0,100.0,60.0,60.0,70.0,60
270.0,240.0,220.0,150.0,60.0,310.0,340.0,100.0,60.0,60.0,70.0,60.0,60
240.0,220.0,150.0,60.0,310.0,340.0,100.0,60.0,60.0,70.0,60.0,60.0,50
220.0,150.0,60.0,310.0,340.0,100.0,60.0,60.0,70.0,60.0,60.0,50.0,50
150.0,60.0,310.0,340.0,100.0,60.0,60.0,70.0,60.0,60.0,50.0,50.0,40
60.0,310.0,340.0,100.0,60.0,60.0,70.0,60.0,60.0,50.0,50.0,40.0,30
310.0,340.0,100.0,60.0,60.0,70.0,60.0,60.0,50.0,50.0,40.0,30.0,30
340.0,100.0,60.0,60.0,70.0,60.0,60.0,50.0,50.0,40.0,30.0,30.0,30
100.0,60.0,60.0,70.0,60.0,60.0,50.0,50.0,40.0,30.0,30.0,30.0,50
60.0,60.0,70.0,60.0,60.0,50.0,50.0,40.0,30.0,30.0,30.0,50.0,40
60.0,70.0,60.0,60.0,50.0,50.0,40.0,30.0,30.0,30.0,50.0,40.0,50
70.0,60.0,60.0,50.0,50.0,40.0,30.0,30.0,30.0,50.0,40.0,50.0,40
60.0,60.0,50.0,50.0,40.0,30.0,30.0,30.0,50.0,40.0,50.0,40.0,40
60.0,50.0,50.0,40.0,30.0,30.0,30.0,50.0,40.0,50.0,40.0,40.0,60
50.0,50.0,40.0,30.0,30.0,30.0,50.0,40.0,50.0,40.0,40.0,60.0,80
50.0,40.0,30.0,30.0,30.0,50.0,40.0,50.0,40.0,40.0,60.0,80.0,110
40.0,30.0,30.0,30.0,50.0,40.0,50.0,40.0,40.0,60.0,80.0,110.0,110
30.0,30.0,30.0,50.0,40.0,50.0,40.0,40.0,60.0,80.0,110.0,110.0,100
30.0,30.0,50.0,40.0,50.0,40.0,40.0,60.0,80.0,110.0,110.0,100.0,140
30.0,50.0,40.0,50.0,40.0,40.0,60.0,80.0,110.0,110.0,100.0,140.0,310
50.0,40.0,50.0,40.0,40.0,60.0,80.0,110.0,110.0,100.0,140.0,310.0,290
40.0,50.0,40.0,40.0,60.0,80.0,110.0,110.0,100.0,140.0,310.0,290.0,250
50.0,40.0,40.0,60.0,80.0,110.0,110.0,100.0,140.0,310.0,290.0,250.0,310
40.0,40.0,60.0,80.0,110.0,110.0,100.0,140.0,310.0,290.0,250.0,310.0,110
40.0,60.0,80.0,110.0,110.0,100.0,140.0,310.0,290.0,250.0,310.0,110.0,110
60.0,80.0,110.0,110.0,100.0,140.0,310.0,290.0,250.0,310.0,110.0,110.0,370
80.0,110.0,110.0,100.0,140.0,310.0,290.0,250.0,310.0,110.0,110.0,370.0,140
110.0,110.0,100.0,140.0,310.0,290.0,250.0,310.0,110.0,110.0,370.0,140.0,440
110.0,100.0,140.0,310.0,290.0,250.0,310.0,110.0,110.0,370.0,140.0,440.0,150
100.0,140.0,310.0,290.0,250.0,310.0,110.0,110.0,370.0,140.0,440.0,150.0,260
140.0,310.0,290.0,250.0,310.0,110.0,110.0,370.0,140.0,440.0,150.0,260.0,290
310.0,290.0,250.0,310.0,110.0,110.0,370.0,140.0,440.0,150.0,260.0,290.0,110
290.0,250.0,310.0,110.0,110.0,370.0,140.0,440.0,150.0,260.0,290.0,110.0,100
250.0,310.0,110.0,110.0,370.0,140.0,440.0,150.0,260.0,290.0,110.0,100.0,100
310.0,110.0,110.0,370.0,140.0,440.0,150.0,260.0,290.0,110.0,100.0,100.0,90
110.0,110.0,370.0,140.0,440.0,150.0,260.0,290.0,110.0,100.0,100.0,90.0,360
110.0,370.0,140.0,440.0,150.0,260.0,290.0,110.0,100.0,100.0,90.0,360.0,270
370.0,140.0,440.0,150.0,260.0,290.0,110.0,100.0,100.0,90.0,360.0,270.0,70
140.0,440.0,150.0,260.0,290.0,110.0,100.0,100.0,90.0,360.0,270.0,70.0,90
440.0,150.0,260.0,290.0,110.0,100.0,100.0,90.0,360.0,270.0,70.0,90.0,100
150.0,260.0,290.0,110.0,100.0,100.0,90.0,360.0,270.0,70.0,90.0,100.0,100
260.0,290.0,110.0,100.0,100.0,90.0,360.0,270.0,70.0,90.0,100.0,100.0,90
290.0,110.0,100.0,100.0,90.0,360.0,270.0,70.0,90.0,100.0,100.0,90.0,70
110.0,100.0,100.0,90.0,360.0,270.0,70.0,90.0,100.0,100.0,90.0,70.0,70
100.0,100.0,90.0,360.0,270.0,70.0,90.0,100.0,100.0,90.0,70.0,70.0,80
100.0,90.0,360.0,270.0,70.0,90.0,100.0,100.0,90.0,70.0,70.0,80.0,50
90.0,360.0,270.0,70.0,90.0,100.0,100.0,90.0,70.0,70.0,80.0,50.0,60
360.0,270.0,70.0,90.0,100.0,100.0,90.0,70.0,70.0,80.0,50.0,60.0,50
270.0,70.0,90.0,100.0,100.0,90.0,70.0,70.0,80.0,50.0,60.0,50.0,50
70.0,90.0,100.0,100.0,90.0,70.0,70.0,80.0,50.0,60.0,50.0,50.0,50
90.0,100.0,100.0,90.0,70.0,70.0,80.0,50.0,60.0,50.0,50.0,50.0,40
100.0,100.0,90.0,70.0,70.0,80.0,50.0,60.0,50.0,50.0,50.0,40.0,60
100.0,90.0,70.0,70.0,80.0,50.0,60.0,50.0,50.0,50.0,40.0,60.0,60
90.0,70.0,70.0,80.0,50.0,60.0,50.0,50.0,50.0,40.0,60.0,60.0,60
70.0,70.0,80.0,50.0,60.0,50.0,50.0,50.0,40.0,60.0,60.0,60.0,60
70.0,80.0,50.0,60.0,50.0,50.0,50.0,40.0,60.0,60.0,60.0,60.0,60
80.0,50.0,60.0,50.0,50.0,50.0,40.0,60.0,60.0,60.0,60.0,60.0,60
50.0,60.0,50.0,50.0,50.0,40.0,60.0,60.0,60.0,60.0,60.0,60.0,60
60.0,50.0,50.0,50.0,40.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,50
50.0,50.0,50.0,40.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,50.0,50
50.0,50.0,40.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,50.0,50.0,30
50.0,40.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,50.0,50.0,30.0,30
40.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,50.0,50.0,30.0,30.0,30
60.0,60.0,60.0,60.0,60.0,60.0,60.0,50.0,50.0,30.0,30.0,30.0,20
60.0,60.0,60.0,60.0,60.0,60.0,50.0,50.0,30.0,30.0,30.0,20.0,60
60.0,60.0,60.0,60.0,60.0,50.0,50.0,30.0,30.0,30.0,20.0,60.0,50
60.0,60.0,60.0,60.0,50.0,50.0,30.0,30.0,30.0,20.0,60.0,50.0,50
60.0,60.0,60.0,50.0,50.0,30.0,30.0,30.0,20.0,60.0,50.0,50.0,40
60.0,60.0,50.0,50.0,30.0,30.0,30.0,20.0,60.0,50.0,50.0,40.0,40
60.0,50.0,50.0,30.0,30.0,30.0,20.0,60.0,50.0,50.0,40.0,40.0,50
50.0,50.0,30.0,30.0,30.0,20.0,60.0,50.0,50.0,40.0,40.0,50.0,50
50.0,30.0,30.0,30.0,20.0,60.0,50.0,50.0,40.0,40.0,50.0,50.0,40
30.0,30.0,30.0,20.0,60.0,50.0,50.0,40.0,40.0,50.0,50.0,40.0,60
30.0,30.0,20.0,60.0,50.0,50.0,40.0,40.0,50.0,50.0,40.0,60.0,40
30.0,20.0,60.0,50.0,50.0,40.0,40.0,50.0,50.0,40.0,60.0,40.0,40
20.0,60.0,50.0,50.0,40.0,40.0,50.0,50.0,40.0,60.0,40.0,40.0,20
60.0,50.0,50.0,40.0,40.0,50.0,50.0,40.0,60.0,40.0,40.0,20.0,20
50.0,50.0,40.0,40.0,50.0,50.0,40.0,60.0,40.0,40.0,20.0,20.0,40
50.0,40.0,40.0,50.0,50.0,40.0,60.0,40.0,40.0,20.0,20.0,40.0,50
40.0,40.0,50.0,50.0,40.0,60.0,40.0,40.0,20.0,20.0,40.0,50.0,40
40.0,50.0,50.0,40.0,60.0,40.0,40.0,20.0,20.0,40.0,50.0,40.0,60
50.0,50.0,40.0,60.0,40.0,40.0,20.0,20.0,40.0,50.0,40.0,60.0,60
50.0,40.0,60.0,40.0,40.0,20.0,20.0,40.0,50.0,40.0,60.0,60.0,50
40.0,60.0,40.0,40.0,20.0,20.0,40.0,50.0,40.0,60.0,60.0,50.0,40
60.0,40.0,40.0,20.0,20.0,40.0,50.0,40.0,60.0,60.0,50.0,40.0,50
40.0,40.0,20.0,20.0,40.0,50.0,40.0,60.0,60.0,50.0,40.0,50.0,40
40.0,20.0,20.0,40.0,50.0,40.0,60.0,60.0,50.0,40.0,50.0,40.0,40
20.0,20.0,40.0,50.0,40.0,60.0,60.0,50.0,40.0,50.0,40.0,40.0,30
20.0,40.0,50.0,40.0,60.0,60.0,50.0,40.0,50.0,40.0,40.0,30.0,20
40.0,50.0,40.0,60.0,60.0,50.0,40.0,50.0,40.0,40.0,30.0,20.0,40
50.0,40.0,60.0,60.0,50.0,40.0,50.0,40.0,40.0,30.0,20.0,40.0,40
40.0,60.0,60.0,50.0,40.0,50.0,40.0,40.0,30.0,20.0,40.0,40.0,50
60.0,60.0,50.0,40.0,50.0,40.0,40.0,30.0,20.0,40.0,40.0,50.0,50
60.0,50.0,40.0,50.0,40.0,40.0,30.0,20.0,40.0,40.0,50.0,50.0,40
50.0,40.0,50.0,40.0,40.0,30.0,20.0,40.0,40.0,50.0,50.0,40.0,40
40.0,50.0,40.0,40.0,30.0,20.0,40.0,40.0,50.0,50.0,40.0,40.0,50
50.0,40.0,40.0,30.0,20.0,40.0,40.0,50.0,50.0,40.0,40.0,50.0,50
40.0,40.0,30.0,20.0,40.0,40.0,50.0,50.0,40.0,40.0,50.0,50.0,60
40.0,30.0,20.0,40.0,40.0,50.0,50.0,40.0,40.0,50.0,50.0,60.0,60
30.0,20.0,40.0,40.0,50.0,50.0,40.0,40.0,50.0,50.0,60.0,60.0,40
20.0,40.0,40.0,50.0,50.0,40.0,40.0,50.0,50.0,60.0,60.0,40.0,40
40.0,40.0,50.0,50.0,40.0,40.0,50.0,50.0,60.0,60.0,40.0,40.0,40
40.0,50.0,50.0,40.0,40.0,50.0,50.0,60.0,60.0,40.0,40.0,40.0,50
50.0,50.0,40.0,40.0,50.0,50.0,60.0,60.0,40.0,40.0,40.0,50.0,60
50.0,40.0,40.0,50.0,50.0,60.0,60.0,40.0,40.0,40.0,50.0,60.0,520
40.0,40.0,50.0,50.0,60.0,60.0,40.0,40.0,40.0,50.0,60.0,520.0,690
40.0,50.0,50.0,60.0,60.0,40.0,40.0,40.0,50.0,60.0,520.0,690.0,420
50.0,50.0,60.0,60.0,40.0,40.0,40.0,50.0,60.0,520.0,690.0,420.0,310
50.0,60.0,60.0,40.0,40.0,40.0,50.0,60.0,520.0,690.0,420.0,310.0,270
60.0,60.0,40.0,40.0,40.0,50.0,60.0,520.0,690.0,420.0,310.0,270.0,230
60.0,40.0,40.0,40.0,50.0,60.0,520.0,690.0,420.0,310.0,270.0,230.0,230
40.0,40.0,40.0,50.0,60.0,520.0,690.0,420.0,310.0,270.0,230.0,230.0,150
40.0,40.0,50.0,60.0,520.0,690.0,420.0,310.0,270.0,230.0,230.0,150.0,70
40.0,50.0,60.0,520.0,690.0,420.0,310.0,270.0,230.0,230.0,150.0,70.0,100
50.0,60.0,520.0,690.0,420.0,310.0,270.0,230.0,230.0,150.0,70.0,100.0,390
60.0,520.0,690.0,420.0,310.0,270.0,230.0,230.0,150.0,70.0,100.0,390.0,270
520.0,690.0,420.0,310.0,270.0,230.0,230.0,150.0,70.0,100.0,390.0,270.0,280
690.0,420.0,310.0,270.0,230.0,230.0,150.0,70.0,100.0,390.0,270.0,280.0,260
420.0,310.0,270.0,230.0,230.0,150.0,70.0,100.0,390.0,270.0,280.0,260.0,240
310.0,270.0,230.0,230.0,150.0,70.0,100.0,390.0,270.0,280.0,260.0,240.0,260
270.0,230.0,230.0,150.0,70.0,100.0,390.0,270.0,280.0,260.0,240.0,260.0,190
230.0,230.0,150.0,70.0,100.0,390.0,270.0,280.0,260.0,240.0,260.0,190.0,120
230.0,150.0,70.0,100.0,390.0,270.0,280.0,260.0,240.0,260.0,190.0,120.0,70
150.0,70.0,100.0,390.0,270.0,280.0,260.0,240.0,260.0,190.0,120.0,70.0,50
70.0,100.0,390.0,270.0,280.0,260.0,240.0,260.0,190.0,120.0,70.0,50.0,70
100.0,390.0,270.0,280.0,260.0,240.0,260.0,190.0,120.0,70.0,50.0,70.0,40
390.0,270.0,280.0,260.0,240.0,260.0,190.0,120.0,70.0,50.0,70.0,40.0,40
270.0,280.0,260.0,240.0,260.0,190.0,120.0,70.0,50.0,70.0,40.0,40.0,40
280.0,260.0,240.0,260.0,190.0,120.0,70.0,50.0,70.0,40.0,40.0,40.0,60
260.0,240.0,260.0,190.0,120.0,70.0,50.0,70.0,40.0,40.0,40.0,60.0,80
240.0,260.0,190.0,120.0,70.0,50.0,70.0,40.0,40.0,40.0,60.0,80.0,170
260.0,190.0,120.0,70.0,50.0,70.0,40.0,40.0,40.0,60.0,80.0,170.0,70
190.0,120.0,70.0,50.0,70.0,40.0,40.0,40.0,60.0,80.0,170.0,70.0,60
120.0,70.0,50.0,70.0,40.0,40.0,40.0,60.0,80.0,170.0,70.0,60.0,70
70.0,50.0,70.0,40.0,40.0,40.0,60.0,80.0,170.0,70.0,60.0,70.0,60
50.0,70.0,40.0,40.0,40.0,60.0,80.0,170.0,70.0,60.0,70.0,60.0,70
70.0,40.0,40.0,40.0,60.0,80.0,170.0,70.0,60.0,70.0,60.0,70.0,80
40.0,40.0,40.0,60.0,80.0,170.0,70.0,60.0,70.0,60.0,70.0,80.0,70
40.0,40.0,60.0,80.0,170.0,70.0,60.0,70.0,60.0,70.0,80.0,70.0,70
40.0,60.0,80.0,170.0,70.0,60.0,70.0,60.0,70.0,80.0,70.0,70.0,70
60.0,80.0,170.0,70.0,60.0,70.0,60.0,70.0,80.0,70.0,70.0,70.0,30
80.0,170.0,70.0,60.0,70.0,60.0,70.0,80.0,70.0,70.0,70.0,30.0,30
170.0,70.0,60.0,70.0,60.0,70.0,80.0,70.0,70.0,70.0,30.0,30.0,30
70.0,60.0,70.0,60.0,70.0,80.0,70.0,70.0,70.0,30.0,30.0,30.0,110
60.0,70.0,60.0,70.0,80.0,70.0,70.0,70.0,30.0,30.0,30.0,110.0,50
70.0,60.0,70.0,80.0,70.0,70.0,70.0,30.0,30.0,30.0,110.0,50.0,60
60.0,70.0,80.0,70.0,70.0,70.0,30.0,30.0,30.0,110.0,50.0,60.0,50
70.0,80.0,70.0,70.0,70.0,30.0,30.0,30.0,110.0,50.0,60.0,50.0,50
80.0,70.0,70.0,70.0,30.0,30.0,30.0,110.0,50.0,60.0,50.0,50.0,50
70.0,70.0,70.0,30.0,30.0,30.0,110.0,50.0,60.0,50.0,50.0,50.0,40
70.0,70.0,30.0,30.0,30.0,110.0,50.0,60.0,50.0,50.0,50.0,40.0,50
70.0,30.0,30.0,30.0,110.0,50.0,60.0,50.0,50.0,50.0,40.0,50.0,50
30.0,30.0,30.0,110.0,50.0,60.0,50.0,50.0,50.0,40.0,50.0,50.0,50
30.0,30.0,110.0,50.0,60.0,50.0,50.0,50.0,40.0,50.0,50.0,50.0,60
30.0,110.0,50.0,60.0,50.0,50.0,50.0,40.0,50.0,50.0,50.0,60.0,40
110.0,50.0,60.0,50.0,50.0,50.0,40.0,50.0,50.0,50.0,60.0,40.0,50
50.0,60.0,50.0,50.0,50.0,40.0,50.0,50.0,50.0,60.0,40.0,50.0,50
60.0,50.0,50.0,50.0,40.0,50.0,50.0,50.0,60.0,40.0,50.0,50.0,50
50.0,50.0,50.0,40.0,50.0,50.0,50.0,60.0,40.0,50.0,50.0,50.0,60
50.0,50.0,40.0,50.0,50.0,50.0,60.0,40.0,50.0,50.0,50.0,60.0,40
50.0,40.0,50.0,50.0,50.0,60.0,40.0,50.0,50.0,50.0,60.0,40.0,70
40.0,50.0,50.0,50.0,60.0,40.0,50.0,50.0,50.0,60.0,40.0,70.0,70
50.0,50.0,50.0,60.0,40.0,50.0,50.0,50.0,60.0,40.0,70.0,70.0,90
50.0,50.0,60.0,40.0,50.0,50.0,50.0,60.0,40.0,70.0,70.0,90.0,90
50.0,60.0,40.0,50.0,50.0,50.0,60.0,40.0,70.0,70.0,90.0,90.0,100
60.0,40.0,50.0,50.0,50.0,60.0,40.0,70.0,70.0,90.0,90.0,100.0,180
40.0,50.0,50.0,50.0,60.0,40.0,70.0,70.0,90.0,90.0,100.0,180.0,390
50.0,50.0,50.0,60.0,40.0,70.0,70.0,90.0,90.0,100.0,180.0,390.0,370
50.0,50.0,60.0,40.0,70.0,70.0,90.0,90.0,100.0,180.0,390.0,370.0,120
50.0,60.0,40.0,70.0,70.0,90.0,90.0,100.0,180.0,390.0,370.0,120.0,100
60.0,40.0,70.0,70.0,90.0,90.0,100.0,180.0,390.0,370.0,120.0,100.0,120
40.0,70.0,70.0,90.0,90.0,100.0,180.0,390.0,370.0,120.0,100.0,120.0,120
70.0,70.0,90.0,90.0,100.0,180.0,390.0,370.0,120.0,100.0,120.0,120.0,100
70.0,90.0,90.0,100.0,180.0,390.0,370.0,120.0,100.0,120.0,120.0,100.0,90
90.0,90.0,100.0,180.0,390.0,370.0,120.0,100.0,120.0,120.0,100.0,90.0,90
90.0,100.0,180.0,390.0,370.0,120.0,100.0,120.0,120.0,100.0,90.0,90.0,80
100.0,180.0,390.0,370.0,120.0,100.0,120.0,120.0,100.0,90.0,90.0,80.0,120
180.0,390.0,370.0,120.0,100.0,120.0,120.0,100.0,90.0,90.0,80.0,120.0,110
390.0,370.0,120.0,100.0,120.0,120.0,100.0,90.0,90.0,80.0,120.0,110.0,140
370.0,120.0,100.0,120.0,120.0,100.0,90.0,90.0,80.0,120.0,110.0,140.0,120
120.0,100.0,120.0,120.0,100.0,90.0,90.0,80.0,120.0,110.0,140.0,120.0,110
100.0,120.0,120.0,100.0,90.0,90.0,80.0,120.0,110.0,140.0,120.0,110.0,100
120.0,120.0,100.0,90.0,90.0,80.0,120.0,110.0,140.0,120.0,110.0,100.0,110
120.0,100.0,90.0,90.0,80.0,120.0,110.0,140.0,120.0,110.0,100.0,110.0,80
100.0,90.0,90.0,80.0,120.0,110.0,140.0,120.0,110.0,100.0,110.0,80.0,90
90.0,90.0,80.0,120.0,110.0,140.0,120.0,110.0,100.0,110.0,80.0,90.0,90
90.0,80.0,120.0,110.0,140.0,120.0,110.0,100.0,110.0,80.0,90.0,90.0,70
80.0,120.0,110.0,140.0,120.0,110.0,100.0,110.0,80.0,90.0,90.0,70.0,70
120.0,110.0,140.0,120.0,110.0,100.0,110.0,80.0,90.0,90.0,70.0,70.0,50
110.0,140.0,120.0,110.0,100.0,110.0,80.0,90.0,90.0,70.0,70.0,50.0,40
140.0,120.0,110.0,100.0,110.0,80.0,90.0,90.0,70.0,70.0,50.0,40.0,50
120.0,110.0,100.0,110.0,80.0,90.0,90.0,70.0,70.0,50.0,40.0,50.0,50
110.0,100.0,110.0,80.0,90.0,90.0,70.0,70.0,50.0,40.0,50.0,50.0,60
100.0,110.0,80.0,90.0,90.0,70.0,70.0,50.0,40.0,50.0,50.0,60.0,60
110.0,80.0,90.0,90.0,70.0,70.0,50.0,40.0,50.0,50.0,60.0,60.0,60
80.0,90.0,90.0,70.0,70.0,50.0,40.0,50.0,50.0,60.0,60.0,60.0,60
90.0,90.0,70.0,70.0,50.0,40.0,50.0,50.0,60.0,60.0,60.0,60.0,60
90.0,70.0,70.0,50.0,40.0,50.0,50.0,60.0,60.0,60.0,60.0,60.0,60
70.0,70.0,50.0,40.0,50.0,50.0,60.0,60.0,60.0,60.0,60.0,60.0,60
70.0,50.0,40.0,50.0,50.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,40
50.0,40.0,50.0,50.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,40.0,50
40.0,50.0,50.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,40.0,50.0,40
50.0,50.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,40.0,50.0,40.0,50
50.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,40.0,50.0,40.0,50.0,70
60.0,60.0,60.0,60.0,60.0,60.0,60.0,40.0,50.0,40.0,50.0,70.0,60
60.0,60.0,60.0,60.0,60.0,60.0,40.0,50.0,40.0,50.0,70.0,60.0,60
60.0,60.0,60.0,60.0,60.0,40.0,50.0,40.0,50.0,70.0,60.0,60.0,60
60.0,60.0,60.0,60.0,40.0,50.0,40.0,50.0,70.0,60.0,60.0,60.0,50
60.0,60.0,60.0,40.0,50.0,40.0,50.0,70.0,60.0,60.0,60.0,50.0,70
60.0,60.0,40.0,50.0,40.0,50.0,70.0,60.0,60.0,60.0,50.0,70.0,60
60.0,40.0,50.0,40.0,50.0,70.0,60.0,60.0,60.0,50.0,70.0,60.0,60
40.0,50.0,40.0,50.0,70.0,60.0,60.0,60.0,50.0,70.0,60.0,60.0,70
50.0,40.0,50.0,70.0,60.0,60.0,60.0,50.0,70.0,60.0,60.0,70.0,60
40.0,50.0,70.0,60.0,60.0,60.0,50.0,70.0,60.0,60.0,70.0,60.0,40
50.0,70.0,60.0,60.0,60.0,50.0,70.0,60.0,60.0,70.0,60.0,40.0,40
70.0,60.0,60.0,60.0,50.0,70.0,60.0,60.0,70.0,60.0,40.0,40.0,30
60.0,60.0,60.0,50.0,70.0,60.0,60.0,70.0,60.0,40.0,40.0,30.0,60
60.0,60.0,50.0,70.0,60.0,60.0,70.0,60.0,40.0,40.0,30.0,60.0,60
60.0,50.0,70.0,60.0,60.0,70.0,60.0,40.0,40.0,30.0,60.0,60.0,70
50.0,70.0,60.0,60.0,70.0,60.0,40.0,40.0,30.0,60.0,60.0,70.0,70
