t-3,t-2,t-1,t
80.0,60.0,70.0,60
60.0,70.0,60.0,50
70.0,60.0,50.0,60
60.0,50.0,60.0,60
50.0,60.0,60.0,60
60.0,60.0,60.0,60
60.0,60.0,60.0,80
60.0,60.0,80.0,80
60.0,80.0,80.0,80
80.0,80.0,80.0,70
80.0,80.0,70.0,70
80.0,70.0,70.0,130
70.0,70.0,130.0,70
70.0,130.0,70.0,70
130.0,70.0,70.0,60
70.0,70.0,60.0,60
70.0,60.0,60.0,60
60.0,60.0,60.0,60
60.0,60.0,60.0,60
60.0,60.0,60.0,50
60.0,60.0,50.0,90
60.0,50.0,90.0,70
50.0,90.0,70.0,50
90.0,70.0,50.0,50
70.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,70
50.0,40.0,70.0,180
40.0,70.0,180.0,50
70.0,180.0,50.0,60
180.0,50.0,60.0,150
50.0,60.0,150.0,130
60.0,150.0,130.0,60
150.0,130.0,60.0,50
130.0,60.0,50.0,50
60.0,50.0,50.0,40
50.0,50.0,40.0,90
50.0,40.0,90.0,70
40.0,90.0,70.0,60
90.0,70.0,60.0,70
70.0,60.0,70.0,70
60.0,70.0,70.0,60
70.0,70.0,60.0,70
70.0,60.0,70.0,60
60.0,70.0,60.0,40
70.0,60.0,40.0,40
60.0,40.0,40.0,50
40.0,40.0,50.0,90
40.0,50.0,90.0,90
50.0,90.0,90.0,90
90.0,90.0,90.0,100
90.0,90.0,100.0,100
90.0,100.0,100.0,90
100.0,100.0,90.0,170
100.0,90.0,170.0,600
90.0,170.0,600.0,510
170.0,600.0,510.0,110
600.0,510.0,110.0,100
510.0,110.0,100.0,100
110.0,100.0,100.0,110
100.0,100.0,110.0,190
100.0,110.0,190.0,140
110.0,190.0,140.0,90
190.0,140.0,90.0,90
140.0,90.0,90.0,90
90.0,90.0,90.0,90
90.0,90.0,90.0,120
90.0,90.0,120.0,110
90.0,120.0,110.0,120
120.0,110.0,120.0,110
110.0,120.0,110.0,100
120.0,110.0,100.0,90
110.0,100.0,90.0,90
100.0,90.0,90.0,80
90.0,90.0,80.0,100
90.0,80.0,100.0,90
80.0,100.0,90.0,80
100.0,90.0,80.0,100
90.0,80.0,100.0,100
80.0,100.0,100.0,70
100.0,100.0,70.0,40
100.0,70.0,40.0,30
70.0,40.0,30.0,50
40.0,30.0,50.0,60
30.0,50.0,60.0,70
50.0,60.0,70.0,70
60.0,70.0,70.0,60
70.0,70.0,60.0,50
70.0,60.0,50.0,60
60.0,50.0,60.0,50
50.0,60.0,50.0,60
60.0,50.0,60.0,80
50.0,60.0,80.0,70
60.0,80.0,70.0,70
80.0,70.0,70.0,60
70.0,70.0,60.0,70
70.0,60.0,70.0,50
60.0,70.0,50.0,70
70.0,50.0,70.0,60
50.0,70.0,60.0,60
70.0,60.0,60.0,70
60.0,60.0,70.0,60
60.0,70.0,60.0,80
70.0,60.0,80.0,60
60.0,80.0,60.0,50
80.0,60.0,50.0,40
60.0,50.0,40.0,40
50.0,40.0,40.0,40
40.0,40.0,40.0,60
40.0,40.0,60.0,60
40.0,60.0,60.0,70
60.0,60.0,70.0,60
60.0,70.0,60.0,60
70.0,60.0,60.0,50
60.0,60.0,50.0,60
60.0,50.0,60.0,60
50.0,60.0,60.0,50
60.0,60.0,50.0,60
60.0,50.0,60.0,70
50.0,60.0,70.0,60
60.0,70.0,60.0,60
70.0,60.0,60.0,50
60.0,60.0,50.0,50
60.0,50.0,50.0,60
50.0,50.0,60.0,50
50.0,60.0,50.0,60
60.0,50.0,60.0,60
50.0,60.0,60.0,60
60.0,60.0,60.0,60
60.0,60.0,60.0,60
60.0,60.0,60.0,60
60.0,60.0,60.0,60
60.0,60.0,60.0,60
60.0,60.0,60.0,100
60.0,60.0,100.0,70
60.0,100.0,70.0,70
100.0,70.0,70.0,90
70.0,70.0,90.0,190
70.0,90.0,190.0,310
90.0,190.0,310.0,230
190.0,310.0,230.0,170
310.0,230.0,170.0,320
230.0,170.0,320.0,300
170.0,320.0,300.0,90
320.0,300.0,90.0,90
300.0,90.0,90.0,90
90.0,90.0,90.0,120
90.0,90.0,120.0,360
90.0,120.0,360.0,220
120.0,360.0,220.0,220
360.0,220.0,220.0,410
220.0,220.0,410.0,190
220.0,410.0,190.0,80
410.0,190.0,80.0,70
190.0,80.0,70.0,70
80.0,70.0,70.0,350
70.0,70.0,350.0,340
70.0,350.0,340.0,340
350.0,340.0,340.0,340
340.0,340.0,340.0,220
340.0,340.0,220.0,70
340.0,220.0,70.0,90
220.0,70.0,90.0,80
70.0,90.0,80.0,70
90.0,80.0,70.0,70
80.0,70.0,70.0,70
70.0,70.0,70.0,120
70.0,70.0,120.0,90
70.0,120.0,90.0,100
120.0,90.0,100.0,100
90.0,100.0,100.0,240
100.0,100.0,240.0,420
100.0,240.0,420.0,200
240.0,420.0,200.0,120
420.0,200.0,120.0,120
200.0,120.0,120.0,120
120.0,120.0,120.0,220
120.0,120.0,220.0,160
120.0,220.0,160.0,130
220.0,160.0,130.0,110
160.0,130.0,110.0,90
130.0,110.0,90.0,100
110.0,90.0,100.0,180
90.0,100.0,180.0,510
100.0,180.0,510.0,350
180.0,510.0,350.0,310
510.0,350.0,310.0,300
350.0,310.0,300.0,270
310.0,300.0,270.0,270
300.0,270.0,270.0,250
270.0,270.0,250.0,230
270.0,250.0,230.0,120
250.0,230.0,120.0,190
230.0,120.0,190.0,170
120.0,190.0,170.0,120
190.0,170.0,120.0,120
170.0,120.0,120.0,460
120.0,120.0,460.0,600
120.0,460.0,600.0,280
460.0,600.0,280.0,100
600.0,280.0,100.0,110
280.0,100.0,110.0,130
100.0,110.0,130.0,120
110.0,130.0,120.0,110
130.0,120.0,110.0,160
120.0,110.0,160.0,160
110.0,160.0,160.0,150
160.0,160.0,150.0,170
160.0,150.0,170.0,100
150.0,170.0,100.0,130
170.0,100.0,130.0,100
100.0,130.0,100.0,140
130.0,100.0,140.0,120
100.0,140.0,120.0,120
140.0,120.0,120.0,140
120.0,120.0,140.0,120
120.0,140.0,120.0,130
140.0,120.0,130.0,80
120.0,130.0,80.0,70
130.0,80.0,70.0,70
80.0,70.0,70.0,70
70.0,70.0,70.0,100
70.0,70.0,100.0,100
70.0,100.0,100.0,100
100.0,100.0,100.0,70
100.0,100.0,70.0,70
100.0,70.0,70.0,70
70.0,70.0,70.0,70
70.0,70.0,70.0,60
70.0,70.0,60.0,50
70.0,60.0,50.0,30
60.0,50.0,30.0,20
50.0,30.0,20.0,50
30.0,20.0,50.0,40
20.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,40
40.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,50
50.0,40.0,50.0,50
40.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,20
50.0,40.0,20.0,20
40.0,20.0,20.0,20
20.0,20.0,20.0,40
20.0,20.0,40.0,50
20.0,40.0,50.0,60
40.0,50.0,60.0,40
50.0,60.0,40.0,50
60.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,40
40.0,50.0,40.0,50
50.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,40
50.0,40.0,40.0,40
40.0,40.0,40.0,40
40.0,40.0,40.0,50
40.0,40.0,50.0,30
40.0,50.0,30.0,30
50.0,30.0,30.0,30
30.0,30.0,30.0,40
30.0,30.0,40.0,60
30.0,40.0,60.0,50
40.0,60.0,50.0,50
60.0,50.0,50.0,70
50.0,50.0,70.0,60
50.0,70.0,60.0,60
70.0,60.0,60.0,80
60.0,60.0,80.0,60
60.0,80.0,60.0,60
80.0,60.0,60.0,50
60.0,60.0,50.0,50
60.0,50.0,50.0,60
50.0,50.0,60.0,170
50.0,60.0,170.0,350
60.0,170.0,350.0,140
170.0,350.0,140.0,80
350.0,140.0,80.0,50
140.0,80.0,50.0,40
80.0,50.0,40.0,50
50.0,40.0,50.0,60
40.0,50.0,60.0,60
50.0,60.0,60.0,60
60.0,60.0,60.0,80
60.0,60.0,80.0,70
60.0,80.0,70.0,70
80.0,70.0,70.0,90
70.0,70.0,90.0,60
70.0,90.0,60.0,50
90.0,60.0,50.0,470
60.0,50.0,470.0,600
50.0,470.0,600.0,330
470.0,600.0,330.0,260
600.0,330.0,260.0,240
330.0,260.0,240.0,220
260.0,240.0,220.0,260
240.0,220.0,260.0,300
220.0,260.0,300.0,70
260.0,300.0,70.0,60
300.0,70.0,60.0,70
70.0,60.0,70.0,70
60.0,70.0,70.0,110
70.0,70.0,110.0,180
70.0,110.0,180.0,170
110.0,180.0,170.0,50
180.0,170.0,50.0,50
170.0,50.0,50.0,60
50.0,50.0,60.0,60
50.0,60.0,60.0,60
60.0,60.0,60.0,60
60.0,60.0,60.0,70
60.0,60.0,70.0,80
60.0,70.0,80.0,90
70.0,80.0,90.0,90
80.0,90.0,90.0,100
90.0,90.0,100.0,90
90.0,100.0,90.0,100
100.0,90.0,100.0,100
90.0,100.0,100.0,120
100.0,100.0,120.0,120
100.0,120.0,120.0,120
120.0,120.0,120.0,110
120.0,120.0,110.0,100
120.0,110.0,100.0,100
110.0,100.0,100.0,80
100.0,100.0,80.0,110
100.0,80.0,110.0,90
80.0,110.0,90.0,90
110.0,90.0,90.0,350
90.0,90.0,350.0,530
90.0,350.0,530.0,500
350.0,530.0,500.0,100
530.0,500.0,100.0,110
500.0,100.0,110.0,120
100.0,110.0,120.0,370
110.0,120.0,370.0,210
120.0,370.0,210.0,110
370.0,210.0,110.0,100
210.0,110.0,100.0,100
110.0,100.0,100.0,100
100.0,100.0,100.0,100
100.0,100.0,100.0,100
100.0,100.0,100.0,100
100.0,100.0,100.0,110
100.0,100.0,110.0,110
100.0,110.0,110.0,80
110.0,110.0,80.0,230
110.0,80.0,230.0,420
80.0,230.0,420.0,240
230.0,420.0,240.0,70
420.0,240.0,70.0,70
240.0,70.0,70.0,70
70.0,70.0,70.0,60
70.0,70.0,60.0,60
70.0,60.0,60.0,60
60.0,60.0,60.0,50
60.0,60.0,50.0,60
60.0,50.0,60.0,50
50.0,60.0,50.0,50
60.0,50.0,50.0,60
50.0,50.0,60.0,70
50.0,60.0,70.0,60
60.0,70.0,60.0,60
70.0,60.0,60.0,40
60.0,60.0,40.0,20
60.0,40.0,20.0,20
40.0,20.0,20.0,20
20.0,20.0,20.0,30
20.0,20.0,30.0,50
20.0,30.0,50.0,50
30.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,40
50.0,40.0,40.0,40
40.0,40.0,40.0,50
40.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,30
40.0,40.0,30.0,20
40.0,30.0,20.0,40
30.0,20.0,40.0,40
20.0,40.0,40.0,40
40.0,40.0,40.0,40
40.0,40.0,40.0,50
40.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,40
40.0,40.0,40.0,50
40.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,30
40.0,50.0,30.0,20
50.0,30.0,20.0,50
30.0,20.0,50.0,20
20.0,50.0,20.0,60
50.0,20.0,60.0,50
20.0,60.0,50.0,60
60.0,50.0,60.0,60
50.0,60.0,60.0,60
60.0,60.0,60.0,50
60.0,60.0,50.0,40
60.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,60
50.0,40.0,60.0,50
40.0,60.0,50.0,50
60.0,50.0,50.0,40
50.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,20
40.0,50.0,20.0,20
50.0,20.0,20.0,40
20.0,20.0,40.0,40
20.0,40.0,40.0,60
40.0,40.0,60.0,70
40.0,60.0,70.0,60
60.0,70.0,60.0,150
70.0,60.0,150.0,70
60.0,150.0,70.0,60
150.0,70.0,60.0,80
70.0,60.0,80.0,70
60.0,80.0,70.0,70
80.0,70.0,70.0,70
70.0,70.0,70.0,60
70.0,70.0,60.0,60
70.0,60.0,60.0,70
60.0,60.0,70.0,40
60.0,70.0,40.0,40
70.0,40.0,40.0,50
40.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,30
50.0,40.0,30.0,30
40.0,30.0,30.0,20
30.0,30.0,20.0,30
30.0,20.0,30.0,50
20.0,30.0,50.0,60
30.0,50.0,60.0,60
50.0,60.0,60.0,50
60.0,60.0,50.0,60
60.0,50.0,60.0,50
50.0,60.0,50.0,50
60.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,60
50.0,50.0,60.0,60
50.0,60.0,60.0,50
60.0,60.0,50.0,50
60.0,50.0,50.0,80
50.0,50.0,80.0,80
50.0,80.0,80.0,90
80.0,80.0,90.0,90
80.0,90.0,90.0,100
90.0,90.0,100.0,150
90.0,100.0,150.0,540
100.0,150.0,540.0,370
150.0,540.0,370.0,180
540.0,370.0,180.0,150
370.0,180.0,150.0,220
180.0,150.0,220.0,100
150.0,220.0,100.0,100
220.0,100.0,100.0,120
100.0,100.0,120.0,100
100.0,120.0,100.0,90
120.0,100.0,90.0,100
100.0,90.0,100.0,110
90.0,100.0,110.0,100
100.0,110.0,100.0,70
110.0,100.0,70.0,80
100.0,70.0,80.0,80
70.0,80.0,80.0,80
80.0,80.0,80.0,70
80.0,80.0,70.0,80
80.0,70.0,80.0,60
70.0,80.0,60.0,80
80.0,60.0,80.0,70
60.0,80.0,70.0,60
80.0,70.0,60.0,60
70.0,60.0,60.0,50
60.0,60.0,50.0,50
60.0,50.0,50.0,50
50.0,50.0,50.0,30
50.0,50.0,30.0,20
50.0,30.0,20.0,20
30.0,20.0,20.0,30
20.0,20.0,30.0,40
20.0,30.0,40.0,50
30.0,40.0,50.0,60
40.0,50.0,60.0,50
50.0,60.0,50.0,40
60.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,50
50.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,40
50.0,40.0,40.0,40
40.0,40.0,40.0,40
40.0,40.0,40.0,50
40.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,30
40.0,50.0,30.0,30
50.0,30.0,30.0,30
30.0,30.0,30.0,40
30.0,30.0,40.0,50
30.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,40
40.0,50.0,40.0,50
50.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,40
40.0,50.0,40.0,50
50.0,40.0,50.0,50
40.0,50.0,50.0,60
50.0,50.0,60.0,40
50.0,60.0,40.0,50
60.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,40
40.0,40.0,40.0,40
40.0,40.0,40.0,50
40.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,60
50.0,50.0,60.0,20
50.0,60.0,20.0,20
60.0,20.0,20.0,30
20.0,20.0,30.0,40
20.0,30.0,40.0,50
30.0,40.0,50.0,60
40.0,50.0,60.0,60
50.0,60.0,60.0,60
60.0,60.0,60.0,60
60.0,60.0,60.0,40
60.0,60.0,40.0,50
60.0,40.0,50.0,40
40.0,50.0,40.0,50
50.0,40.0,50.0,60
40.0,50.0,60.0,60
50.0,60.0,60.0,70
60.0,60.0,70.0,70
60.0,70.0,70.0,70
70.0,70.0,70.0,90
70.0,70.0,90.0,80
70.0,90.0,80.0,80
90.0,80.0,80.0,70
80.0,80.0,70.0,60
80.0,70.0,60.0,70
70.0,60.0,70.0,70
60.0,70.0,70.0,70
70.0,70.0,70.0,50
70.0,70.0,50.0,50
70.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,60
50.0,50.0,60.0,60
50.0,60.0,60.0,80
60.0,60.0,80.0,70
60.0,80.0,70.0,70
80.0,70.0,70.0,70
70.0,70.0,70.0,60
70.0,70.0,60.0,190
70.0,60.0,190.0,340
60.0,190.0,340.0,360
190.0,340.0,360.0,140
340.0,360.0,140.0,70
360.0,140.0,70.0,160
140.0,70.0,160.0,420
70.0,160.0,420.0,230
160.0,420.0,230.0,440
420.0,230.0,440.0,240
230.0,440.0,240.0,460
440.0,240.0,460.0,90
240.0,460.0,90.0,240
460.0,90.0,240.0,250
90.0,240.0,250.0,90
240.0,250.0,90.0,80
250.0,90.0,80.0,90
90.0,80.0,90.0,80
80.0,90.0,80.0,370
90.0,80.0,370.0,270
80.0,370.0,270.0,70
370.0,270.0,70.0,90
270.0,70.0,90.0,100
70.0,90.0,100.0,90
90.0,100.0,90.0,110
100.0,90.0,110.0,100
90.0,110.0,100.0,90
110.0,100.0,90.0,90
100.0,90.0,90.0,100
90.0,90.0,100.0,90
90.0,100.0,90.0,100
100.0,90.0,100.0,100
90.0,100.0,100.0,90
100.0,100.0,90.0,90
100.0,90.0,90.0,90
90.0,90.0,90.0,90
90.0,90.0,90.0,110
90.0,90.0,110.0,80
90.0,110.0,80.0,100
110.0,80.0,100.0,90
80.0,100.0,90.0,90
100.0,90.0,90.0,80
90.0,90.0,80.0,70
90.0,80.0,70.0,70
80.0,70.0,70.0,70
70.0,70.0,70.0,70
70.0,70.0,70.0,80
70.0,70.0,80.0,80
70.0,80.0,80.0,80
80.0,80.0,80.0,60
80.0,80.0,60.0,30
80.0,60.0,30.0,20
60.0,30.0,20.0,20
30.0,20.0,20.0,40
20.0,20.0,40.0,50
20.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,40
50.0,40.0,40.0,40
40.0,40.0,40.0,40
40.0,40.0,40.0,40
40.0,40.0,40.0,50
40.0,40.0,50.0,40
40.0,50.0,40.0,50
50.0,40.0,50.0,50
40.0,50.0,50.0,40
50.0,50.0,40.0,40
50.0,40.0,40.0,40
40.0,40.0,40.0,40
40.0,40.0,40.0,40
40.0,40.0,40.0,50
40.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,40
40.0,40.0,40.0,50
40.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,30
50.0,50.0,30.0,30
50.0,30.0,30.0,20
30.0,30.0,20.0,20
30.0,20.0,20.0,40
20.0,20.0,40.0,40
20.0,40.0,40.0,50
40.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,40
40.0,50.0,40.0,80
50.0,40.0,80.0,50
40.0,80.0,50.0,40
80.0,50.0,40.0,40
50.0,40.0,40.0,80
40.0,40.0,80.0,60
40.0,80.0,60.0,40
80.0,60.0,40.0,50
60.0,40.0,50.0,50
40.0,50.0,50.0,30
50.0,50.0,30.0,30
50.0,30.0,30.0,20
30.0,30.0,20.0,20
30.0,20.0,20.0,40
20.0,20.0,40.0,40
20.0,40.0,40.0,60
40.0,40.0,60.0,50
40.0,60.0,50.0,60
60.0,50.0,60.0,50
50.0,60.0,50.0,40
60.0,50.0,40.0,100
50.0,40.0,100.0,130
40.0,100.0,130.0,40
100.0,130.0,40.0,40
130.0,40.0,40.0,50
40.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,60
50.0,40.0,60.0,140
40.0,60.0,140.0,60
60.0,140.0,60.0,50
140.0,60.0,50.0,50
60.0,50.0,50.0,30
50.0,50.0,30.0,50
50.0,30.0,50.0,40
30.0,50.0,40.0,40
50.0,40.0,40.0,70
40.0,40.0,70.0,90
40.0,70.0,90.0,70
70.0,90.0,70.0,80
90.0,70.0,80.0,70
70.0,80.0,70.0,90
80.0,70.0,90.0,90
70.0,90.0,90.0,80
90.0,90.0,80.0,70
90.0,80.0,70.0,90
80.0,70.0,90.0,100
70.0,90.0,100.0,100
90.0,100.0,100.0,100
100.0,100.0,100.0,110
100.0,100.0,110.0,120
100.0,110.0,120.0,250
110.0,120.0,250.0,160
120.0,250.0,160.0,80
250.0,160.0,80.0,60
160.0,80.0,60.0,60
80.0,60.0,60.0,70
60.0,60.0,70.0,390
60.0,70.0,390.0,350
70.0,390.0,350.0,270
390.0,350.0,270.0,260
350.0,270.0,260.0,180
270.0,260.0,180.0,100
260.0,180.0,100.0,280
180.0,100.0,280.0,260
100.0,280.0,260.0,280
280.0,260.0,280.0,100
260.0,280.0,100.0,260
280.0,100.0,260.0,190
100.0,260.0,190.0,100
260.0,190.0,100.0,100
190.0,100.0,100.0,90
100.0,100.0,90.0,140
100.0,90.0,140.0,430
90.0,140.0,430.0,250
140.0,430.0,250.0,90
430.0,250.0,90.0,100
250.0,90.0,100.0,90
90.0,100.0,90.0,90
100.0,90.0,90.0,90
90.0,90.0,90.0,70
90.0,90.0,70.0,60
90.0,70.0,60.0,60
70.0,60.0,60.0,60
60.0,60.0,60.0,60
60.0,60.0,60.0,70
60.0,60.0,70.0,80
60.0,70.0,80.0,90
70.0,80.0,90.0,90
80.0,90.0,90.0,90
90.0,90.0,90.0,80
90.0,90.0,80.0,50
90.0,80.0,50.0,20
80.0,50.0,20.0,40
50.0,20.0,40.0,40
20.0,40.0,40.0,50
40.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,50
50.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,40
50.0,40.0,40.0,40
40.0,40.0,40.0,40
40.0,40.0,40.0,50
40.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,20
50.0,40.0,20.0,30
40.0,20.0,30.0,20
20.0,30.0,20.0,40
30.0,20.0,40.0,40
20.0,40.0,40.0,50
40.0,40.0,50.0,50
40.0,50.0,50.0,60
50.0,50.0,60.0,50
50.0,60.0,50.0,40
60.0,50.0,40.0,40
50.0,40.0,40.0,40
40.0,40.0,40.0,50
40.0,40.0,50.0,40
40.0,50.0,40.0,60
50.0,40.0,60.0,80
40.0,60.0,80.0,70
60.0,80.0,70.0,90
80.0,70.0,90.0,70
70.0,90.0,70.0,60
90.0,70.0,60.0,60
70.0,60.0,60.0,60
60.0,60.0,60.0,60
60.0,60.0,60.0,60
60.0,60.0,60.0,300
60.0,60.0,300.0,360
60.0,300.0,360.0,160
300.0,360.0,160.0,110
360.0,160.0,110.0,80
160.0,110.0,80.0,80
110.0,80.0,80.0,70
80.0,80.0,70.0,80
80.0,70.0,80.0,100
70.0,80.0,100.0,160
80.0,100.0,160.0,710
100.0,160.0,710.0,660
160.0,710.0,660.0,300
710.0,660.0,300.0,300
660.0,300.0,300.0,290
300.0,300.0,290.0,250
300.0,290.0,250.0,300
290.0,250.0,300.0,370
250.0,300.0,370.0,190
300.0,370.0,190.0,110
370.0,190.0,110.0,80
190.0,110.0,80.0,90
110.0,80.0,90.0,90
80.0,90.0,90.0,350
90.0,90.0,350.0,750
90.0,350.0,750.0,520
350.0,750.0,520.0,350
750.0,520.0,350.0,290
520.0,350.0,290.0,260
350.0,290.0,260.0,230
290.0,260.0,230.0,200
260.0,230.0,200.0,80
230.0,200.0,80.0,120
200.0,80.0,120.0,220
80.0,120.0,220.0,700
120.0,220.0,700.0,610
220.0,700.0,610.0,370
700.0,610.0,370.0,280
610.0,370.0,280.0,280
370.0,280.0,280.0,280
280.0,280.0,280.0,260
280.0,280.0,260.0,140
280.0,260.0,140.0,140
260.0,140.0,140.0,100
140.0,140.0,100.0,120
140.0,100.0,120.0,120
100.0,120.0,120.0,100
120.0,120.0,100.0,150
120.0,100.0,150.0,480
100.0,150.0,480.0,320
150.0,480.0,320.0,300
480.0,320.0,300.0,280
320.0,300.0,280.0,390
300.0,280.0,390.0,480
280.0,390.0,480.0,460
390.0,480.0,460.0,380
480.0,460.0,380.0,370
460.0,380.0,370.0,420
380.0,370.0,420.0,100
370.0,420.0,100.0,90
420.0,100.0,90.0,90
100.0,90.0,90.0,90
90.0,90.0,90.0,80
90.0,90.0,80.0,90
90.0,80.0,90.0,150
80.0,90.0,150.0,100
90.0,150.0,100.0,100
150.0,100.0,100.0,90
100.0,100.0,90.0,80
100.0,90.0,80.0,100
90.0,80.0,100.0,90
80.0,100.0,90.0,90
100.0,90.0,90.0,70
90.0,90.0,70.0,90
90.0,70.0,90.0,70
70.0,90.0,70.0,90
90.0,70.0,90.0,70
70.0,90.0,70.0,60
90.0,70.0,60.0,70
70.0,60.0,70.0,60
60.0,70.0,60.0,60
70.0,60.0,60.0,60
60.0,60.0,60.0,50
60.0,60.0,50.0,60
60.0,50.0,60.0,60
50.0,60.0,60.0,60
60.0,60.0,60.0,50
60.0,60.0,50.0,50
60.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,60
40.0,40.0,60.0,50
40.0,60.0,50.0,50
60.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,40
40.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,30
50.0,40.0,30.0,30
40.0,30.0,30.0,30
30.0,30.0,30.0,30
30.0,30.0,30.0,50
30.0,30.0,50.0,40
30.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,40
40.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,50
50.0,40.0,50.0,50
40.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,50
40.0,50.0,50.0,40
50.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,50
40.0,50.0,50.0,50
50.0,50.0,50.0,50
50.0,50.0,50.0,40
50.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,50
50.0,40.0,50.0,40
40.0,50.0,40.0,40
50.0,40.0,40.0,50
40.0,40.0,50.0,70
40.0,50.0,70.0,60
50.0,70.0,60.0,50
