t-6,t-5,t-4,t-3,t-2,t-1,t
30.0,30.0,30.0,50.0,50.0,40.0,40
30.0,30.0,50.0,50.0,40.0,40.0,50
30.0,50.0,50.0,40.0,40.0,50.0,40
50.0,50.0,40.0,40.0,50.0,40.0,60
50.0,40.0,40.0,50.0,40.0,60.0,50
40.0,40.0,50.0,40.0,60.0,50.0,40
40.0,50.0,40.0,60.0,50.0,40.0,50
50.0,40.0,60.0,50.0,40.0,50.0,40
40.0,60.0,50.0,40.0,50.0,40.0,40
60.0,50.0,40.0,50.0,40.0,40.0,50
50.0,40.0,50.0,40.0,40.0,50.0,30
40.0,50.0,40.0,40.0,50.0,30.0,30
50.0,40.0,40.0,50.0,30.0,30.0,30
40.0,40.0,50.0,30.0,30.0,30.0,30
40.0,50.0,30.0,30.0,30.0,30.0,50
50.0,30.0,30.0,30.0,30.0,50.0,40
30.0,30.0,30.0,30.0,50.0,40.0,40
30.0,30.0,30.0,50.0,40.0,40.0,50
30.0,30.0,50.0,40.0,40.0,50.0,50
30.0,50.0,40.0,40.0,50.0,50.0,40
50.0,40.0,40.0,50.0,50.0,40.0,60
40.0,40.0,50.0,50.0,40.0,60.0,40
40.0,50.0,50.0,40.0,60.0,40.0,50
50.0,50.0,40.0,60.0,40.0,50.0,40
50.0,40.0,60.0,40.0,50.0,40.0,40
40.0,60.0,40.0,50.0,40.0,40.0,50
60.0,40.0,50.0,40.0,40.0,50.0,40
40.0,50.0,40.0,40.0,50.0,40.0,40
50.0,40.0,40.0,50.0,40.0,40.0,40
40.0,40.0,50.0,40.0,40.0,40.0,30
40.0,50.0,40.0,40.0,40.0,30.0,20
50.0,40.0,40.0,40.0,30.0,20.0,40
40.0,40.0,40.0,30.0,20.0,40.0,40
40.0,40.0,30.0,20.0,40.0,40.0,190
40.0,30.0,20.0,40.0,40.0,190.0,150
30.0,20.0,40.0,40.0,190.0,150.0,350
20.0,40.0,40.0,190.0,150.0,350.0,70
40.0,40.0,190.0,150.0,350.0,70.0,90
40.0,190.0,150.0,350.0,70.0,90.0,80
190.0,150.0,350.0,70.0,90.0,80.0,60
150.0,350.0,70.0,90.0,80.0,60.0,50
350.0,70.0,90.0,80.0,60.0,50.0,360
70.0,90.0,80.0,60.0,50.0,360.0,440
90.0,80.0,60.0,50.0,360.0,440.0,440
80.0,60.0,50.0,360.0,440.0,440.0,450
60.0,50.0,360.0,440.0,440.0,450.0,440
50.0,360.0,440.0,440.0,450.0,440.0,140
360.0,440.0,440.0,450.0,440.0,140.0,190
440.0,440.0,450.0,440.0,140.0,190.0,450
440.0,450.0,440.0,140.0,190.0,450.0,360
450.0,440.0,140.0,190.0,450.0,360.0,110
440.0,140.0,190.0,450.0,360.0,110.0,70
140.0,190.0,450.0,360.0,110.0,70.0,130
190.0,450.0,360.0,110.0,70.0,130.0,70
450.0,360.0,110.0,70.0,130.0,70.0,60
360.0,110.0,70.0,130.0,70.0,60.0,140
110.0,70.0,130.0,70.0,60.0,140.0,130
70.0,130.0,70.0,60.0,140.0,130.0,210
130.0,70.0,60.0,140.0,130.0,210.0,530
70.0,60.0,140.0,130.0,210.0,530.0,410
60.0,140.0,130.0,210.0,530.0,410.0,480
140.0,130.0,210.0,530.0,410.0,480.0,410
130.0,210.0,530.0,410.0,480.0,410.0,320
210.0,530.0,410.0,480.0,410.0,320.0,310
530.0,410.0,480.0,410.0,320.0,310.0,290
410.0,480.0,410.0,320.0,310.0,290.0,220
480.0,410.0,320.0,310.0,290.0,220.0,130
410.0,320.0,310.0,290.0,220.0,130.0,130
320.0,310.0,290.0,220.0,130.0,130.0,130
310.0,290.0,220.0,130.0,130.0,130.0,130
290.0,220.0,130.0,130.0,130.0,130.0,120
220.0,130.0,130.0,130.0,130.0,120.0,90
130.0,130.0,130.0,130.0,120.0,90.0,90
130.0,130.0,130.0,120.0,90.0,90.0,80
130.0,130.0,120.0,90.0,90.0,80.0,80
130.0,120.0,90.0,90.0,80.0,80.0,90
120.0,90.0,90.0,80.0,80.0,90.0,170
90.0,90.0,80.0,80.0,90.0,170.0,90
90.0,80.0,80.0,90.0,170.0,90.0,110
80.0,80.0,90.0,170.0,90.0,110.0,90
80.0,90.0,170.0,90.0,110.0,90.0,140
90.0,170.0,90.0,110.0,90.0,140.0,160
170.0,90.0,110.0,90.0,140.0,160.0,100
90.0,110.0,90.0,140.0,160.0,100.0,110
110.0,90.0,140.0,160.0,100.0,110.0,180
90.0,140.0,160.0,100.0,110.0,180.0,400
140.0,160.0,100.0,110.0,180.0,400.0,130
160.0,100.0,110.0,180.0,400.0,130.0,150
100.0,110.0,180.0,400.0,130.0,150.0,140
110.0,180.0,400.0,130.0,150.0,140.0,140
180.0,400.0,130.0,150.0,140.0,140.0,150
400.0,130.0,150.0,140.0,140.0,150.0,190
130.0,150.0,140.0,140.0,150.0,190.0,140
150.0,140.0,140.0,150.0,190.0,140.0,140
140.0,140.0,150.0,190.0,140.0,140.0,150
140.0,150.0,190.0,140.0,140.0,150.0,130
150.0,190.0,140.0,140.0,150.0,130.0,180
190.0,140.0,140.0,150.0,130.0,180.0,640
140.0,140.0,150.0,130.0,180.0,640.0,650
140.0,150.0,130.0,180.0,640.0,650.0,140
150.0,130.0,180.0,640.0,650.0,140.0,80
130.0,180.0,640.0,650.0,140.0,80.0,90
180.0,640.0,650.0,140.0,80.0,90.0,130
640.0,650.0,140.0,80.0,90.0,130.0,130
650.0,140.0,80.0,90.0,130.0,130.0,140
140.0,80.0,90.0,130.0,130.0,140.0,120
80.0,90.0,130.0,130.0,140.0,120.0,130
90.0,130.0,130.0,140.0,120.0,130.0,140
130.0,130.0,140.0,120.0,130.0,140.0,110
130.0,140.0,120.0,130.0,140.0,110.0,200
140.0,120.0,130.0,140.0,110.0,200.0,220
120.0,130.0,140.0,110.0,200.0,220.0,120
130.0,140.0,110.0,200.0,220.0,120.0,100
140.0,110.0,200.0,220.0,120.0,100.0,100
110.0,200.0,220.0,120.0,100.0,100.0,90
200.0,220.0,120.0,100.0,100.0,90.0,100
220.0,120.0,100.0,100.0,90.0,100.0,90
120.0,100.0,100.0,90.0,100.0,90.0,100
100.0,100.0,90.0,100.0,90.0,100.0,90
100.0,90.0,100.0,90.0,100.0,90.0,70
90.0,100.0,90.0,100.0,90.0,70.0,70
100.0,90.0,100.0,90.0,70.0,70.0,60
90.0,100.0,90.0,70.0,70.0,60.0,30
100.0,90.0,70.0,70.0,60.0,30.0,20
90.0,70.0,70.0,60.0,30.0,20.0,20
70.0,70.0,60.0,30.0,20.0,20.0,30
70.0,60.0,30.0,20.0,20.0,30.0,50
60.0,30.0,20.0,20.0,30.0,50.0,60
30.0,20.0,20.0,30.0,50.0,60.0,50
20.0,20.0,30.0,50.0,60.0,50.0,40
20.0,30.0,50.0,60.0,50.0,40.0,50
30.0,50.0,60.0,50.0,40.0,50.0,40
50.0,60.0,50.0,40.0,50.0,40.0,50
60.0,50.0,40.0,50.0,40.0,50.0,40
50.0,40.0,50.0,40.0,50.0,40.0,50
40.0,50.0,40.0,50.0,40.0,50.0,60
50.0,40.0,50.0,40.0,50.0,60.0,50
40.0,50.0,40.0,50.0,60.0,50.0,40
50.0,40.0,50.0,60.0,50.0,40.0,50
40.0,50.0,60.0,50.0,40.0,50.0,40
50.0,60.0,50.0,40.0,50.0,40.0,40
60.0,50.0,40.0,50.0,40.0,40.0,50
50.0,40.0,50.0,40.0,40.0,50.0,50
40.0,50.0,40.0,40.0,50.0,50.0,40
50.0,40.0,40.0,50.0,50.0,40.0,30
40.0,40.0,50.0,50.0,40.0,30.0,20
40.0,50.0,50.0,40.0,30.0,20.0,40
50.0,50.0,40.0,30.0,20.0,40.0,40
50.0,40.0,30.0,20.0,40.0,40.0,50
40.0,30.0,20.0,40.0,40.0,50.0,40
30.0,20.0,40.0,40.0,50.0,40.0,50
20.0,40.0,40.0,50.0,40.0,50.0,50
40.0,40.0,50.0,40.0,50.0,50.0,60
40.0,50.0,40.0,50.0,50.0,60.0,50
50.0,40.0,50.0,50.0,60.0,50.0,40
40.0,50.0,50.0,60.0,50.0,40.0,50
50.0,50.0,60.0,50.0,40.0,50.0,40
50.0,60.0,50.0,40.0,50.0,40.0,50
60.0,50.0,40.0,50.0,40.0,50.0,40
50.0,40.0,50.0,40.0,50.0,40.0,50
40.0,50.0,40.0,50.0,40.0,50.0,50
50.0,40.0,50.0,40.0,50.0,50.0,50
40.0,50.0,40.0,50.0,50.0,50.0,40
50.0,40.0,50.0,50.0,50.0,40.0,50
40.0,50.0,50.0,50.0,40.0,50.0,40
50.0,50.0,50.0,40.0,50.0,40.0,30
50.0,50.0,40.0,50.0,40.0,30.0,20
50.0,40.0,50.0,40.0,30.0,20.0,30
40.0,50.0,40.0,30.0,20.0,30.0,40
50.0,40.0,30.0,20.0,30.0,40.0,50
40.0,30.0,20.0,30.0,40.0,50.0,50
30.0,20.0,30.0,40.0,50.0,50.0,40
20.0,30.0,40.0,50.0,50.0,40.0,40
30.0,40.0,50.0,50.0,40.0,40.0,60
40.0,50.0,50.0,40.0,40.0,60.0,120
50.0,50.0,40.0,40.0,60.0,120.0,370
50.0,40.0,40.0,60.0,120.0,370.0,350
40.0,40.0,60.0,120.0,370.0,350.0,330
40.0,60.0,120.0,370.0,350.0,330.0,60
60.0,120.0,370.0,350.0,330.0,60.0,50
120.0,370.0,350.0,330.0,60.0,50.0,40
370.0,350.0,330.0,60.0,50.0,40.0,40
350.0,330.0,60.0,50.0,40.0,40.0,40
330.0,60.0,50.0,40.0,40.0,40.0,40
60.0,50.0,40.0,40.0,40.0,40.0,50
50.0,40.0,40.0,40.0,40.0,50.0,50
40.0,40.0,40.0,40.0,50.0,50.0,80
40.0,40.0,40.0,50.0,50.0,80.0,140
40.0,40.0,50.0,50.0,80.0,140.0,330
40.0,50.0,50.0,80.0,140.0,330.0,160
50.0,50.0,80.0,140.0,330.0,160.0,80
50.0,80.0,140.0,330.0,160.0,80.0,30
80.0,140.0,330.0,160.0,80.0,30.0,60
140.0,330.0,160.0,80.0,30.0,60.0,60
330.0,160.0,80.0,30.0,60.0,60.0,60
160.0,80.0,30.0,60.0,60.0,60.0,70
80.0,30.0,60.0,60.0,60.0,70.0,40
30.0,60.0,60.0,60.0,70.0,40.0,470
60.0,60.0,60.0,70.0,40.0,470.0,710
60.0,60.0,70.0,40.0,470.0,710.0,480
60.0,70.0,40.0,470.0,710.0,480.0,360
70.0,40.0,470.0,710.0,480.0,360.0,340
40.0,470.0,710.0,480.0,360.0,340.0,300
470.0,710.0,480.0,360.0,340.0,300.0,230
710.0,480.0,360.0,340.0,300.0,230.0,260
480.0,360.0,340.0,300.0,230.0,260.0,420
360.0,340.0,300.0,230.0,260.0,420.0,170
340.0,300.0,230.0,260.0,420.0,170.0,80
300.0,230.0,260.0,420.0,170.0,80.0,70
230.0,260.0,420.0,170.0,80.0,70.0,390
260.0,420.0,170.0,80.0,70.0,390.0,640
420.0,170.0,80.0,70.0,390.0,640.0,510
170.0,80.0,70.0,390.0,640.0,510.0,300
80.0,70.0,390.0,640.0,510.0,300.0,260
70.0,390.0,640.0,510.0,300.0,260.0,260
390.0,640.0,510.0,300.0,260.0,260.0,220
640.0,510.0,300.0,260.0,260.0,220.0,190
510.0,300.0,260.0,260.0,220.0,190.0,300
300.0,260.0,260.0,220.0,190.0,300.0,430
260.0,260.0,220.0,190.0,300.0,430.0,700
260.0,220.0,190.0,300.0,430.0,700.0,570
220.0,190.0,300.0,430.0,700.0,570.0,330
190.0,300.0,430.0,700.0,570.0,330.0,280
300.0,430.0,700.0,570.0,330.0,280.0,260
430.0,700.0,570.0,330.0,280.0,260.0,240
700.0,570.0,330.0,280.0,260.0,240.0,230
570.0,330.0,280.0,260.0,240.0,230.0,220
330.0,280.0,260.0,240.0,230.0,220.0,100
280.0,260.0,240.0,230.0,220.0,100.0,270
260.0,240.0,230.0,220.0,100.0,270.0,330
240.0,230.0,220.0,100.0,270.0,330.0,260
230.0,220.0,100.0,270.0,330.0,260.0,310
220.0,100.0,270.0,330.0,260.0,310.0,430
100.0,270.0,330.0,260.0,310.0,430.0,420
270.0,330.0,260.0,310.0,430.0,420.0,190
330.0,260.0,310.0,430.0,420.0,190.0,110
260.0,310.0,430.0,420.0,190.0,110.0,120
310.0,430.0,420.0,190.0,110.0,120.0,120
430.0,420.0,190.0,110.0,120.0,120.0,110
420.0,190.0,110.0,120.0,120.0,110.0,120
190.0,110.0,120.0,120.0,110.0,120.0,120
110.0,120.0,120.0,110.0,120.0,120.0,150
120.0,120.0,110.0,120.0,120.0,150.0,490
120.0,110.0,120.0,120.0,150.0,490.0,580
110.0,120.0,120.0,150.0,490.0,580.0,350
120.0,120.0,150.0,490.0,580.0,350.0,80
120.0,150.0,490.0,580.0,350.0,80.0,90
150.0,490.0,580.0,350.0,80.0,90.0,80
490.0,580.0,350.0,80.0,90.0,80.0,180
580.0,350.0,80.0,90.0,80.0,180.0,400
350.0,80.0,90.0,80.0,180.0,400.0,300
80.0,90.0,80.0,180.0,400.0,300.0,90
90.0,80.0,180.0,400.0,300.0,90.0,80
80.0,180.0,400.0,300.0,90.0,80.0,70
180.0,400.0,300.0,90.0,80.0,70.0,60
400.0,300.0,90.0,80.0,70.0,60.0,80
300.0,90.0,80.0,70.0,60.0,80.0,80
90.0,80.0,70.0,60.0,80.0,80.0,70
80.0,70.0,60.0,80.0,80.0,70.0,80
70.0,60.0,80.0,80.0,70.0,80.0,70
60.0,80.0,80.0,70.0,80.0,70.0,230
80.0,80.0,70.0,80.0,70.0,230.0,350
80.0,70.0,80.0,70.0,230.0,350.0,70
70.0,80.0,70.0,230.0,350.0,70.0,50
80.0,70.0,230.0,350.0,70.0,50.0,60
70.0,230.0,350.0,70.0,50.0,60.0,60
230.0,350.0,70.0,50.0,60.0,60.0,70
350.0,70.0,50.0,60.0,60.0,70.0,60
70.0,50.0,60.0,60.0,70.0,60.0,50
50.0,60.0,60.0,70.0,60.0,50.0,50
60.0,60.0,70.0,60.0,50.0,50.0,60
60.0,70.0,60.0,50.0,50.0,60.0,50
70.0,60.0,50.0,50.0,60.0,50.0,50
60.0,50.0,50.0,60.0,50.0,50.0,70
50.0,50.0,60.0,50.0,50.0,70.0,70
50.0,60.0,50.0,50.0,70.0,70.0,60
60.0,50.0,50.0,70.0,70.0,60.0,60
50.0,50.0,70.0,70.0,60.0,60.0,60
50.0,70.0,70.0,60.0,60.0,60.0,50
70.0,70.0,60.0,60.0,60.0,50.0,60
70.0,60.0,60.0,60.0,50.0,60.0,50
60.0,60.0,60.0,50.0,60.0,50.0,40
60.0,60.0,50.0,60.0,50.0,40.0,50
60.0,50.0,60.0,50.0,40.0,50.0,50
50.0,60.0,50.0,40.0,50.0,50.0,50
60.0,50.0,40.0,50.0,50.0,50.0,50
50.0,40.0,50.0,50.0,50.0,50.0,40
40.0,50.0,50.0,50.0,50.0,40.0,50
50.0,50.0,50.0,50.0,40.0,50.0,40
50.0,50.0,50.0,40.0,50.0,40.0,40
50.0,50.0,40.0,50.0,40.0,40.0,50
50.0,40.0,50.0,40.0,40.0,50.0,40
40.0,50.0,40.0,40.0,50.0,40.0,50
50.0,40.0,40.0,50.0,40.0,50.0,50
40.0,40.0,50.0,40.0,50.0,50.0,50
40.0,50.0,40.0,50.0,50.0,50.0,50
50.0,40.0,50.0,50.0,50.0,50.0,40
40.0,50.0,50.0,50.0,50.0,40.0,40
50.0,50.0,50.0,50.0,40.0,40.0,40
50.0,50.0,50.0,40.0,40.0,40.0,50
50.0,50.0,40.0,40.0,40.0,50.0,50
50.0,40.0,40.0,40.0,50.0,50.0,40
40.0,40.0,40.0,50.0,50.0,40.0,50
40.0,40.0,50.0,50.0,40.0,50.0,50
40.0,50.0,50.0,40.0,50.0,50.0,40
50.0,50.0,40.0,50.0,50.0,40.0,50
50.0,40.0,50.0,50.0,40.0,50.0,40
40.0,50.0,50.0,40.0,50.0,40.0,40
50.0,50.0,40.0,50.0,40.0,40.0,40
50.0,40.0,50.0,40.0,40.0,40.0,50
40.0,50.0,40.0,40.0,40.0,50.0,50
50.0,40.0,40.0,40.0,50.0,50.0,50
40.0,40.0,40.0,50.0,50.0,50.0,50
40.0,40.0,50.0,50.0,50.0,50.0,40
40.0,50.0,50.0,50.0,50.0,40.0,40
50.0,50.0,50.0,50.0,40.0,40.0,50
50.0,50.0,50.0,40.0,40.0,50.0,50
50.0,50.0,40.0,40.0,50.0,50.0,50
50.0,40.0,40.0,50.0,50.0,50.0,60
40.0,40.0,50.0,50.0,50.0,60.0,60
40.0,50.0,50.0,50.0,60.0,60.0,60
50.0,50.0,50.0,60.0,60.0,60.0,70
50.0,50.0,60.0,60.0,60.0,70.0,320
50.0,60.0,60.0,60.0,70.0,320.0,200
60.0,60.0,60.0,70.0,320.0,200.0,60
60.0,60.0,70.0,320.0,200.0,60.0,40
60.0,70.0,320.0,200.0,60.0,40.0,50
70.0,320.0,200.0,60.0,40.0,50.0,60
320.0,200.0,60.0,40.0,50.0,60.0,80
200.0,60.0,40.0,50.0,60.0,80.0,60
60.0,40.0,50.0,60.0,80.0,60.0,70
40.0,50.0,60.0,80.0,60.0,70.0,60
50.0,60.0,80.0,60.0,70.0,60.0,50
60.0,80.0,60.0,70.0,60.0,50.0,60
80.0,60.0,70.0,60.0,50.0,60.0,60
60.0,70.0,60.0,50.0,60.0,60.0,60
70.0,60.0,50.0,60.0,60.0,60.0,60
60.0,50.0,60.0,60.0,60.0,60.0,80
50.0,60.0,60.0,60.0,60.0,80.0,80
60.0,60.0,60.0,60.0,80.0,80.0,80
60.0,60.0,60.0,80.0,80.0,80.0,70
60.0,60.0,80.0,80.0,80.0,70.0,70
60.0,80.0,80.0,80.0,70.0,70.0,130
80.0,80.0,80.0,70.0,70.0,130.0,70
80.0,80.0,70.0,70.0,130.0,70.0,70
80.0,70.0,70.0,130.0,70.0,70.0,60
70.0,70.0,130.0,70.0,70.0,60.0,60
70.0,130.0,70.0,70.0,60.0,60.0,60
130.0,70.0,70.0,60.0,60.0,60.0,60
70.0,70.0,60.0,60.0,60.0,60.0,60
70.0,60.0,60.0,60.0,60.0,60.0,50
60.0,60.0,60.0,60.0,60.0,50.0,90
60.0,60.0,60.0,60.0,50.0,90.0,70
60.0,60.0,60.0,50.0,90.0,70.0,50
60.0,60.0,50.0,90.0,70.0,50.0,50
60.0,50.0,90.0,70.0,50.0,50.0,50
50.0,90.0,70.0,50.0,50.0,50.0,40
90.0,70.0,50.0,50.0,50.0,40.0,70
70.0,50.0,50.0,50.0,40.0,70.0,180
50.0,50.0,50.0,40.0,70.0,180.0,50
50.0,50.0,40.0,70.0,180.0,50.0,60
50.0,40.0,70.0,180.0,50.0,60.0,150
40.0,70.0,180.0,50.0,60.0,150.0,130
70.0,180.0,50.0,60.0,150.0,130.0,60
180.0,50.0,60.0,150.0,130.0,60.0,50
50.0,60.0,150.0,130.0,60.0,50.0,50
60.0,150.0,130.0,60.0,50.0,50.0,40
150.0,130.0,60.0,50.0,50.0,40.0,90
130.0,60.0,50.0,50.0,40.0,90.0,70
60.0,50.0,50.0,40.0,90.0,70.0,60
50.0,50.0,40.0,90.0,70.0,60.0,70
50.0,40.0,90.0,70.0,60.0,70.0,70
40.0,90.0,70.0,60.0,70.0,70.0,60
90.0,70.0,60.0,70.0,70.0,60.0,70
70.0,60.0,70.0,70.0,60.0,70.0,60
60.0,70.0,70.0,60.0,70.0,60.0,40
70.0,70.0,60.0,70.0,60.0,40.0,40
70.0,60.0,70.0,60.0,40.0,40.0,50
60.0,70.0,60.0,40.0,40.0,50.0,90
70.0,60.0,40.0,40.0,50.0,90.0,90
60.0,40.0,40.0,50.0,90.0,90.0,90
40.0,40.0,50.0,90.0,90.0,90.0,100
40.0,50.0,90.0,90.0,90.0,100.0,100
50.0,90.0,90.0,90.0,100.0,100.0,90
90.0,90.0,90.0,100.0,100.0,90.0,170
90.0,90.0,100.0,100.0,90.0,170.0,600
90.0,100.0,100.0,90.0,170.0,600.0,510
100.0,100.0,90.0,170.0,600.0,510.0,110
100.0,90.0,170.0,600.0,510.0,110.0,100
90.0,170.0,600.0,510.0,110.0,100.0,100
170.0,600.0,510.0,110.0,100.0,100.0,110
600.0,510.0,110.0,100.0,100.0,110.0,190
510.0,110.0,100.0,100.0,110.0,190.0,140
110.0,100.0,100.0,110.0,190.0,140.0,90
100.0,100.0,110.0,190.0,140.0,90.0,90
100.0,110.0,190.0,140.0,90.0,90.0,90
110.0,190.0,140.0,90.0,90.0,90.0,90
190.0,140.0,90.0,90.0,90.0,90.0,120
140.0,90.0,90.0,90.0,90.0,120.0,110
90.0,90.0,90.0,90.0,120.0,110.0,120
90.0,90.0,90.0,120.0,110.0,120.0,110
90.0,90.0,120.0,110.0,120.0,110.0,100
90.0,120.0,110.0,120.0,110.0,100.0,90
120.0,110.0,120.0,110.0,100.0,90.0,90
110.0,120.0,110.0,100.0,90.0,90.0,80
120.0,110.0,100.0,90.0,90.0,80.0,100
110.0,100.0,90.0,90.0,80.0,100.0,90
100.0,90.0,90.0,80.0,100.0,90.0,80
90.0,90.0,80.0,100.0,90.0,80.0,100
90.0,80.0,100.0,90.0,80.0,100.0,100
80.0,100.0,90.0,80.0,100.0,100.0,70
100.0,90.0,80.0,100.0,100.0,70.0,40
90.0,80.0,100.0,100.0,70.0,40.0,30
80.0,100.0,100.0,70.0,40.0,30.0,50
100.0,100.0,70.0,40.0,30.0,50.0,60
100.0,70.0,40.0,30.0,50.0,60.0,70
70.0,40.0,30.0,50.0,60.0,70.0,70
40.0,30.0,50.0,60.0,70.0,70.0,60
30.0,50.0,60.0,70.0,70.0,60.0,50
50.0,60.0,70.0,70.0,60.0,50.0,60
60.0,70.0,70.0,60.0,50.0,60.0,50
70.0,70.0,60.0,50.0,60.0,50.0,60
70.0,60.0,50.0,60.0,50.0,60.0,80
60.0,50.0,60.0,50.0,60.0,80.0,70
50.0,60.0,50.0,60.0,80.0,70.0,70
60.0,50.0,60.0,80.0,70.0,70.0,60
50.0,60.0,80.0,70.0,70.0,60.0,70
60.0,80.0,70.0,70.0,60.0,70.0,50
80.0,70.0,70.0,60.0,70.0,50.0,70
70.0,70.0,60.0,70.0,50.0,70.0,60
70.0,60.0,70.0,50.0,70.0,60.0,60
60.0,70.0,50.0,70.0,60.0,60.0,70
70.0,50.0,70.0,60.0,60.0,70.0,60
50.0,70.0,60.0,60.0,70.0,60.0,80
70.0,60.0,60.0,70.0,60.0,80.0,60
60.0,60.0,70.0,60.0,80.0,60.0,50
60.0,70.0,60.0,80.0,60.0,50.0,40
70.0,60.0,80.0,60.0,50.0,40.0,40
60.0,80.0,60.0,50.0,40.0,40.0,40
80.0,60.0,50.0,40.0,40.0,40.0,60
60.0,50.0,40.0,40.0,40.0,60.0,60
50.0,40.0,40.0,40.0,60.0,60.0,70
40.0,40.0,40.0,60.0,60.0,70.0,60
40.0,40.0,60.0,60.0,70.0,60.0,60
40.0,60.0,60.0,70.0,60.0,60.0,50
60.0,60.0,70.0,60.0,60.0,50.0,60
60.0,70.0,60.0,60.0,50.0,60.0,60
70.0,60.0,60.0,50.0,60.0,60.0,50
60.0,60.0,50.0,60.0,60.0,50.0,60
60.0,50.0,60.0,60.0,50.0,60.0,70
50.0,60.0,60.0,50.0,60.0,70.0,60
60.0,60.0,50.0,60.0,70.0,60.0,60
60.0,50.0,60.0,70.0,60.0,60.0,50
50.0,60.0,70.0,60.0,60.0,50.0,50
60.0,70.0,60.0,60.0,50.0,50.0,60
70.0,60.0,60.0,50.0,50.0,60.0,50
60.0,60.0,50.0,50.0,60.0,50.0,60
60.0,50.0,50.0,60.0,50.0,60.0,60
50.0,50.0,60.0,50.0,60.0,60.0,60
50.0,60.0,50.0,60.0,60.0,60.0,60
60.0,50.0,60.0,60.0,60.0,60.0,60
50.0,60.0,60.0,60.0,60.0,60.0,60
60.0,60.0,60.0,60.0,60.0,60.0,60
60.0,60.0,60.0,60.0,60.0,60.0,60
60.0,60.0,60.0,60.0,60.0,60.0,100
60.0,60.0,60.0,60.0,60.0,100.0,70
60.0,60.0,60.0,60.0,100.0,70.0,70
60.0,60.0,60.0,100.0,70.0,70.0,90
60.0,60.0,100.0,70.0,70.0,90.0,190
60.0,100.0,70.0,70.0,90.0,190.0,310
100.0,70.0,70.0,90.0,190.0,310.0,230
70.0,70.0,90.0,190.0,310.0,230.0,170
70.0,90.0,190.0,310.0,230.0,170.0,320
90.0,190.0,310.0,230.0,170.0,320.0,300
190.0,310.0,230.0,170.0,320.0,300.0,90
310.0,230.0,170.0,320.0,300.0,90.0,90
230.0,170.0,320.0,300.0,90.0,90.0,90
170.0,320.0,300.0,90.0,90.0,90.0,120
320.0,300.0,90.0,90.0,90.0,120.0,360
300.0,90.0,90.0,90.0,120.0,360.0,220
90.0,90.0,90.0,120.0,360.0,220.0,220
90.0,90.0,120.0,360.0,220.0,220.0,410
90.0,120.0,360.0,220.0,220.0,410.0,190
120.0,360.0,220.0,220.0,410.0,190.0,80
360.0,220.0,220.0,410.0,190.0,80.0,70
220.0,220.0,410.0,190.0,80.0,70.0,70
220.0,410.0,190.0,80.0,70.0,70.0,350
410.0,190.0,80.0,70.0,70.0,350.0,340
190.0,80.0,70.0,70.0,350.0,340.0,340
80.0,70.0,70.0,350.0,340.0,340.0,340
70.0,70.0,350.0,340.0,340.0,340.0,220
70.0,350.0,340.0,340.0,340.0,220.0,70
350.0,340.0,340.0,340.0,220.0,70.0,90
340.0,340.0,340.0,220.0,70.0,90.0,80
340.0,340.0,220.0,70.0,90.0,80.0,70
340.0,220.0,70.0,90.0,80.0,70.0,70
220.0,70.0,90.0,80.0,70.0,70.0,70
70.0,90.0,80.0,70.0,70.0,70.0,120
90.0,80.0,70.0,70.0,70.0,120.0,90
80.0,70.0,70.0,70.0,120.0,90.0,100
70.0,70.0,70.0,120.0,90.0,100.0,100
70.0,70.0,120.0,90.0,100.0,100.0,240
70.0,120.0,90.0,100.0,100.0,240.0,420
120.0,90.0,100.0,100.0,240.0,420.0,200
90.0,100.0,100.0,240.0,420.0,200.0,120
100.0,100.0,240.0,420.0,200.0,120.0,120
100.0,240.0,420.0,200.0,120.0,120.0,120
240.0,420.0,200.0,120.0,120.0,120.0,220
420.0,200.0,120.0,120.0,120.0,220.0,160
200.0,120.0,120.0,120.0,220.0,160.0,130
120.0,120.0,120.0,220.0,160.0,130.0,110
120.0,120.0,220.0,160.0,130.0,110.0,90
120.0,220.0,160.0,130.0,110.0,90.0,100
220.0,160.0,130.0,110.0,90.0,100.0,180
160.0,130.0,110.0,90.0,100.0,180.0,510
130.0,110.0,90.0,100.0,180.0,510.0,350
110.0,90.0,100.0,180.0,510.0,350.0,310
90.0,100.0,180.0,510.0,350.0,310.0,300
100.0,180.0,510.0,350.0,310.0,300.0,270
180.0,510.0,350.0,310.0,300.0,270.0,270
510.0,350.0,310.0,300.0,270.0,270.0,250
350.0,310.0,300.0,270.0,270.0,250.0,230
310.0,300.0,270.0,270.0,250.0,230.0,120
300.0,270.0,270.0,250.0,230.0,120.0,190
270.0,270.0,250.0,230.0,120.0,190.0,170
270.0,250.0,230.0,120.0,190.0,170.0,120
250.0,230.0,120.0,190.0,170.0,120.0,120
230.0,120.0,190.0,170.0,120.0,120.0,460
120.0,190.0,170.0,120.0,120.0,460.0,600
190.0,170.0,120.0,120.0,460.0,600.0,280
170.0,120.0,120.0,460.0,600.0,280.0,100
120.0,120.0,460.0,600.0,280.0,100.0,110
120.0,460.0,600.0,280.0,100.0,110.0,130
460.0,600.0,280.0,100.0,110.0,130.0,120
600.0,280.0,100.0,110.0,130.0,120.0,110
280.0,100.0,110.0,130.0,120.0,110.0,160
100.0,110.0,130.0,120.0,110.0,160.0,160
